step,n,t_full,t_inc,max_angle_deg,recall10,err_full,err_inc
1,3120,0.17505680600000062,0.00907695099999728,1.1558769324650362e-12,1.0,0.7253609574806326,0.7253609574806326
2,3240,0.1408923759999965,0.008422340999999278,1.4417580580911897e-12,1.0,0.733137377847547,0.733137377847547
3,3360,0.13187959100000057,0.009211481999997773,2.0199646164382918e-12,1.0,0.740359441728887,0.740359441728887
4,3480,0.12584476799999322,0.008312929000013014,3.069396732575279e-12,1.0,0.7473369909845574,0.7473369909845574
5,3600,0.1143499840000004,0.008346121000002427,1.0506680481232355e-12,1.0,0.7535452858397582,0.7535452858397582
6,3720,0.11261376599999551,0.008390937000001486,2.305120668971311e-12,1.0,0.7593266762445527,0.7593266762445527
7,3840,0.15438610400001096,0.008194723999991993,5.732936572260829e-12,1.0,0.7647771306191525,0.7647771306191524
8,3960,0.11855108700000017,0.008150116999999568,4.479941480452994e-12,1.0,0.7697168060589962,0.7697168060589961
9,4080,0.12361932099999251,0.008075629000003914,1.9100634974186363e-12,1.0,0.7744607035049363,0.7744607035049363
10,4200,0.16793246299999964,0.008333620000001929,1.680201257566597e-12,1.0,0.7787858988429364,0.7787858988429363
11,4320,0.1308195579999989,0.008933408000004306,1.9634705348948623e-12,1.0,0.7829693522882086,0.7829693522882086
12,4440,0.1607541690000005,0.008345448000000033,2.227037502802983e-12,1.0,0.7867029567483387,0.7867029567483387
13,4560,0.13687862099999393,0.008374600000010446,1.032839038794684e-11,1.0,0.7906054071734607,0.7906054071734605
14,4680,0.13970128399999737,0.00823483499999611,8.775596035568608e-13,1.0,0.7941174374473153,0.7941174374473153
15,4800,0.18348127199999453,0.008320760000003702,3.3167297377172783e-12,1.0,0.7974729916976157,0.7974729916976157
16,4920,0.150463452000011,0.008533599999992703,3.4634701194240995e-12,1.0,0.8008672809472722,0.8008672809472722
17,5040,0.17680404400000782,0.008406368999999358,1.1041564328609696e-12,1.0,0.8038469362508526,0.8038469362508526
18,5160,0.15492544300001043,0.008009729999997717,3.4773718615616626e-12,1.0,0.8067993904132387,0.8067993904132387
19,5280,0.16160465999999474,0.00878274200000817,7.429707070395653e-12,1.0,0.8094933369723805,0.8094933369723805
20,5400,0.16650762099999383,0.008282249000004072,4.549840449207226e-12,1.0,0.8122141351190004,0.8122141351190004
21,5520,0.21097618900000725,0.0083358379999936,1.7779232697451752e-12,1.0,0.8145854579294418,0.8145854579294418
22,5640,0.17496933700000739,0.008302538999998887,1.4805226636520414e-12,1.0,0.8170101218140281,0.8170101218140281
23,5760,0.17360450000001038,0.008522549999995022,2.0914959903534276e-12,1.0,0.8192926289344011,0.8192926289344011
24,5880,0.2163001640000033,0.008304144999996765,2.176709045842632e-12,1.0,0.821717548873586,0.821717548873586
25,6000,0.17881945000000599,0.00835080699999935,2.7483760004136793e-12,1.0,0.823821908960147,0.823821908960147
26,6120,0.18573343199999215,0.008381057999997665,3.2602006944369585e-12,1.0,0.8259018793297477,0.8259018793297477
27,6240,0.2203683009999935,0.008485254999996528,1.7398212157434948e-12,1.0,0.8278926437105998,0.8278926437105998
28,6360,0.19445096100000114,0.008258902999997986,1.0473978310034094e-12,1.0,0.8297520065627051,0.8297520065627052
29,6480,0.23008956600000374,0.008480660000003581,2.151430460044711e-12,1.0,0.8317095333857133,0.8317095333857133
30,6600,0.2033787549999886,0.008533064000005197,1.5772897388472455e-12,1.0,0.8334634207409325,0.8334634207409326
31,6720,0.2019561509999903,0.00847865999999442,1.471712720095233e-12,1.0,0.8351483162870218,0.8351483162870218
32,6840,0.25558109399999296,0.008496567000008781,1.8318250198882393e-12,1.0,0.836744390441189,0.8367443904411889
33,6960,0.21432179100000326,0.008552262999998561,2.4754795539119322e-12,1.0,0.8382514882007491,0.8382514882007491
34,7080,0.24689082099999382,0.00858418199999278,2.175873126425723e-12,1.0,0.8397267151881143,0.8397267151881144
35,7200,0.22618487100000095,0.008307103999996457,1.0266984131623777e-12,1.0,0.8412352222881505,0.8412352222881505
36,7320,0.22632340199999135,0.0085438699999969,1.2847140037242868e-12,1.0,0.8426435352055962,0.8426435352055962
37,7440,0.22735625100000334,0.00830832899998768,1.5798242394906243e-12,1.0,0.8440001351269486,0.8440001351269486
38,7560,0.26686560200000997,0.008597661000010248,2.905742236022642e-12,1.0,0.8453960697010559,0.8453960697010557
39,7680,0.2590938019999953,0.008296668999989265,1.3096793497071542e-11,1.0,0.8466472112501727,0.8466472112501726
40,7800,0.24196350400001165,0.008276428000002056,3.2739967245789236e-12,1.0,0.8477953374401082,0.847795337440108
41,7920,0.2746594669999922,0.008305179999993584,3.489950594100459e-12,1.0,0.8489824192591537,0.8489824192591537
42,8040,0.24660834600000214,0.008439833000011276,2.141662759551012e-12,1.0,0.8501455668994705,0.8501455668994705
43,8160,0.2578948879999956,0.008507490999988931,2.8779182307219606e-12,1.0,0.8512520654540109,0.8512520654540109
44,8280,0.2722696569999954,0.008646787000003542,2.102165034142999e-12,1.0,0.852386906112596,0.852386906112596
45,8400,0.27242533899999444,0.00839254599999606,2.4384689440357548e-12,1.0,0.8534018356614924,0.8534018356614924
46,8520,0.30190512800000135,0.008546591000012427,3.2171677628518075e-12,1.0,0.8544764942136689,0.8544764942136689
